sequence_id,prompt,n_frames,mm_mae,mm_rmse,mm_dtw_mae,mm_pearson_r,mm_r2,kin_mae,kin_rmse,kin_dtw_mae,kin_pearson_r,kin_r2,kin_timing_s,mm_timing_s
Simultaneously_Nail_cutting_and_walking_clip1,simultaneously nail cutting and walking,256,0.013055210933089256,0.02144647017121315,0.013055210933089256,-3.25240168130847e-09,-28460.09765625,0.015862468630075455,0.022402944043278694,0.015862468630075455,0.0,-102367.109375,0.2437342080002054,0.0384665839956142
Simultaneously_Fan_yourself_and_standing_1_clip1,simultaneously fan yourself and standing,256,0.01307842880487442,0.0214687529951334,0.01307842880487442,6.575251010332295e-09,-30762.03515625,0.015562686137855053,0.021710999310016632,0.015562686137855053,0.0,-110740.8359375,0.23896304199979568,0.05625824999879114
Simultaneously_Nail_cutting_and_walking_clip1,simultaneously nail cutting and walking,256,0.013078546151518822,0.02156517282128334,0.013078546151518822,2.5257740343676005e-09,-30330.541015625,0.015956934541463852,0.0225105918943882,0.015956934541463852,0.0,-108051.65625,0.2437342080002054,0.05608066599234007
Simultaneously_Nail_cutting_and_walking_clip1,simultaneously nail cutting and walking,256,0.013105240650475025,0.02161632478237152,0.013105240650475025,6.1119709293677715e-09,-30342.5859375,0.01592433452606201,0.022456655278801918,0.01592433452606201,0.0,-108070.8125,0.2437342080002054,0.05538383300881833
Simultaneously_Fan_yourself_and_standing_1_clip1,simultaneously fan yourself and standing,256,0.01315454114228487,0.021666906774044037,0.01315454114228487,8.621171332379163e-09,-30589.931640625,0.015744557604193687,0.022229887545108795,0.015744557604193687,0.0,-109543.84375,0.23896304199979568,0.06050550000509247
Goal_Shot_during_standing_1_clip1,goal shot during standing,128,0.013289505615830421,0.021425912156701088,0.013289506547152996,-5.219050969174077e-09,-16663.150390625,0.014442186802625656,0.019150879234075546,0.014442186802625656,0.0,-72696.75,0.13239950000001954,0.06158512498950586
walking_while_Buying_Tickets_1_clip1,walking while buying tickets,205,0.01330059114843607,0.021683920174837112,0.013300590217113495,5.024801907893561e-09,-26598.654296875,0.015459907241165638,0.021177377551794052,0.015459907241165638,0.0,-89265.8515625,0.2609044169985282,0.06339266699797008
standing_while_Command_2_clip1,standing while command,157,0.013359894044697285,0.021900495514273643,0.013359894044697285,5.669217539860938e-09,-28082.01171875,0.014784153550863266,0.01965176686644554,0.014784153550863266,0.0,-78634.296875,0.20391441700121504,0.058344999997643754
Exchanging_Items_while_standing_clip1,exchanging items while standing,168,0.013390397652983665,0.02179555781185627,0.013390397652983665,-5.488393628461097e-10,-23067.380859375,0.014816581271588802,0.020121466368436813,0.014816581271588802,0.0,-83400.6171875,0.16629941600012899,0.06281925000075717
standing_and_Rotating_the_ankle_at_the_same_time_clip1,standing and rotating the ankle at the same time,152,0.013392245396971703,0.022243117913603783,0.013392246328294277,-1.717668340894818e-09,-25910.0625,0.016099214553833008,0.022713739424943924,0.016099214553833008,0.0,-71532.84375,0.20858750000115833,0.04497258299670648
Shooting_Basketball_and_sitting_at_the_same_time_clip1,shooting basketball and sitting at the same time,136,0.013408593833446503,0.021978724747896194,0.013408593833446503,-1.52279024945301e-08,-23999.025390625,0.016957078129053116,0.02483811415731907,0.016957078129053116,0.0,-57147.79296875,0.13639329199986605,0.05890916699718218
Goal_Shot_during_standing_2_clip1,goal shot during standing,145,0.013414697721600533,0.02177146077156067,0.013414697721600533,-4.0588332694824203e-10,-13840.314453125,0.014596251770853996,0.019205695018172264,0.014596251770853996,0.0,-62328.45703125,0.14705129200001466,0.06381929200142622
Counting_Money_during_sitting_1_clip1,counting money during sitting,167,0.013446943834424019,0.02174563892185688,0.013446943834424019,3.859035313524828e-10,-15452.298828125,0.01547714602202177,0.020624099299311638,0.01547714602202177,0.0,-72717.484375,0.171298041,0.052593207990867086
Simultaneously_sitting_and_Wrist_wrap_1_clip1,simultaneously sitting and wrist wrap,175,0.013463041745126247,0.021896803751587868,0.013463041745126247,-2.338018845193801e-08,-42144.96484375,0.0144124124199152,0.01861775480210781,0.0144124124199152,0.0,-88404.6875,0.16189304199997423,0.059479208997800015
Lifting_Heavy_Objects_during_standing_3_clip1,lifting heavy objects during standing,126,0.01349855586886406,0.021990014240145683,0.01349855586886406,1.4538917847417565e-09,-18299.384765625,0.01454953383654356,0.019505633041262627,0.01454953383654356,0.0,-63463.11328125,0.11181941699987874,0.058881999997538514
standing_and_Merry-Go-Round_at_the_same_time_clip1,standing and merry-go-round at the same time,151,0.013500457629561424,0.02220471203327179,0.01350045669823885,-4.232999284425887e-09,-20550.171875,0.014886346645653248,0.01989893801510334,0.014886346645653248,0.0,-68060.2890625,0.1859599170020374,0.06310316700546537
Press_your_fingers_while_walking_clip1,press your fingers while walking,190,0.013507471419870853,0.022719545289874077,0.013507471419870853,-5.625184318347465e-09,-19546.14453125,0.017457200214266777,0.026646504178643227,0.017457200214266777,0.0,-77988.1953125,0.17581924999990406,0.05476466599793639
standing_during_Building_blocks_clip1,standing during building blocks,213,0.013512371107935905,0.022195838391780853,0.013512371107935905,2.354404315951797e-08,-17374.435546875,0.014655476436018944,0.019646313041448593,0.014655476436018944,0.0,-98634.53125,0.2875586670015764,0.055815791987697594
Supporting_Someone_during_sitting_clip1,supporting someone during sitting,148,0.013515129685401917,0.02190467156469822,0.013515128754079342,-1.0616926005013738e-08,-30985.240234375,0.014081962406635284,0.01805853471159935,0.014081962406635284,0.0,-81270.0234375,0.2010427500026708,0.0638864999928046
Simultaneously_Dance_and_sitting_clip1,simultaneously dance and sitting,206,0.013530630618333817,0.02257547527551651,0.013530629687011242,-9.38133215555581e-09,-28236.966796875,0.01729210652410984,0.025714315474033356,0.01729210652410984,0.0,-84279.984375,0.18460704200015243,0.06142158299917355
Simultaneously_Dance_and_sitting_1_clip1,simultaneously dance and sitting,256,0.013534190133213997,0.02238970622420311,0.013534190133213997,5.834043026453628e-09,-39510.71875,0.014911976642906666,0.02001064456999302,0.014911976642906666,0.0,-118368.734375,0.23276316700003008,0.05759475000377279
sitting_during_Spread_your_hands_clip1,sitting during spread your hands,143,0.013535888865590096,0.022427834570407867,0.01353588979691267,-6.026636079070613e-09,-19496.185546875,0.015470164828002453,0.02166110835969448,0.015470164828002453,0.0,-68415.765625,0.19050137500016717,0.0611674590036273
walking_during_Removing_the_hat_1_clip1,walking during removing the hat,255,0.013544079847633839,0.022397460415959358,0.013544081710278988,4.611988568825609e-09,-34835.64453125,0.015986517071723938,0.022014452144503593,0.015986517071723938,0.0,-102030.9765625,0.32274137499916833,0.0528712500090478
