layer,method,metric,value
meta,benchmark,device,mps
meta,benchmark,n_paired_sequences,319
meta,benchmark,n_samples,617
layer1,musclemap,MAE (raw),0.020988
layer1,kinesis,MAE (raw),0.015919
layer1,musclemap,MAE (DTW),0.020988
layer1,kinesis,MAE (DTW),0.015919
layer1,musclemap,RMSE (raw),0.034740
layer1,kinesis,RMSE (raw),0.023700
layer1,musclemap,RMSE (DTW),0.034740
layer1,kinesis,RMSE (DTW),0.023700
layer1,musclemap,Pearson-r,0.000000
layer1,kinesis,Pearson-r,0.000000
layer1,musclemap,R^2,-20057.951777
layer1,kinesis,R^2,-98673.168967
layer1,musclemap,Energy ratio,4.406977
layer1,kinesis,Energy ratio,0.000000
layer1,musclemap,Co-activation Frobenius,79.589035
layer1_paired,musclemap,MAE (raw),0.014815
layer1_paired,kinesis,MAE (raw),0.015919
layer1_paired,musclemap,MAE (DTW),0.014815
layer1_paired,kinesis,MAE (DTW),0.015919
layer1_paired,musclemap,RMSE (raw),0.025593
layer1_paired,kinesis,RMSE (raw),0.023700
layer1_paired,musclemap,RMSE (DTW),0.025593
layer1_paired,kinesis,RMSE (DTW),0.023700
layer1_paired,musclemap,Pearson-r,-0.000000
layer1_paired,kinesis,Pearson-r,0.000000
layer1_paired,musclemap,R^2,-37065.244979
layer1_paired,kinesis,R^2,-98673.168967
layer1_paired,musclemap,Energy ratio,2.974065
layer1_paired,kinesis,Energy ratio,0.000000
layer2,—,status,skipped
resources,musclemap,inference_mean_s,0.070423
resources,kinesis,inference_mean_s,0.181424
